;index;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
17786;25429;Apartamento;Freguesia (Jacarepaguá);3;1;1;97;2300.0;950.0;
17787;25431;Casa de Condomínio;Recreio dos Bandeirantes;4;3;4;280;5000.0;825.0;4200.0
17788;25432;Apartamento;Copacabana;3;0;1;150;7500.0;;
17789;25434;Apartamento;Ipanema;3;1;1;120;4300.0;1910.0;354.0
17790;25435;Apartamento;Ipanema;3;1;1;140;7200.0;2900.0;500.0
17791;25438;Apartamento;Botafogo;3;2;1;170;4500.0;1900.0;300.0
17792;25439;Apartamento;Barra da Tijuca;2;2;1;79;4000.0;2630.0;495.0
17793;25440;Apartamento;Ipanema;2;1;1;75;5000.0;;
17794;25443;Apartamento;Pechincha;2;0;0;65;1300.0;350.0;14.0
17795;25446;Casa de Condomínio;Freguesia (Jacarepaguá);3;2;3;240;4000.0;1200.0;315.0
17796;25448;Flat;Barra da Tijuca;2;1;2;80;2800.0;1500.0;385.0
17797;25449;Casa;Cosmos;2;3;0;67;1000.0;;
17798;25451;Apartamento;Tijuca;3;1;1;117;1900.0;816.0;
17799;25453;Apartamento;Tijuca;2;0;0;78;1400.0;830.0;67.0
17800;25455;Apartamento;Tijuca;3;0;0;83;1390.0;650.0;80.0
17801;25457;Apartamento;Copacabana;4;2;1;270;4750.0;2900.0;510.0
17802;25458;Apartamento;Jacarepaguá;2;0;0;50;1000.0;530.0;50.0
17803;25459;Apartamento;Engenho de Dentro;3;0;0;81;1200.0;270.0;
17804;25460;Apartamento;Botafogo;2;1;1;80;3200.0;800.0;150.0
17805;25461;Apartamento;Laranjeiras;3;2;1;110;3700.0;900.0;252.0
17806;25463;Apartamento;Copacabana;2;1;0;124;6000.0;1442.0;470.0
17807;25464;Casa de Condomínio;Barra da Tijuca;4;3;4;465;6000.0;1025.0;1201.0
17808;25465;Apartamento;Botafogo;3;0;1;60;3900.0;1440.0;307.0
17809;25468;Apartamento;Botafogo;2;0;0;70;2000.0;751.0;88.0
17810;25469;Apartamento;Recreio dos Bandeirantes;3;0;1;146;2000.0;904.0;1871.0
17811;25470;Apartamento;Botafogo;3;1;1;98;4500.0;1550.0;245.0
17812;25473;Apartamento;Botafogo;1;0;0;46;1800.0;540.0;24.0
17813;25474;Apartamento;Jardim Guanabara;3;1;0;78;2000.0;350.0;83.0
17814;25476;Apartamento;Jacarepaguá;2;1;0;46;800.0;310.0;143.0
17815;25477;Apartamento;Realengo;2;0;0;50;450.0;369.0;
17816;25480;Apartamento;Copacabana;3;0;0;106;2200.0;888.0;160.0
17817;25481;Apartamento;Copacabana;1;0;0;32;1800.0;330.0;25.0
17818;25482;Apartamento;Copacabana;1;0;0;40;1900.0;380.0;58.0
17819;25483;Apartamento;Maracanã;2;1;1;68;2000.0;900.0;
17820;25484;Apartamento;Ipanema;2;1;2;120;8500.0;;
17821;25485;Quitinete;Copacabana;1;0;0;25;1250.0;340.0;
17822;25487;Casa;Moneró;3;3;1;220;3400.0;;4500.0
17823;25489;Apartamento;Ipanema;4;1;1;250;12000.0;3795.0;7384.0
17824;25491;Apartamento;Barra da Tijuca;3;3;1;347;25000.0;3900.0;1990.0
17825;25492;Apartamento;Rocha Miranda;2;1;0;55;1000.0;295.0;
17826;25493;Apartamento;Ipanema;4;4;1;400;20000.0;10000.0;3000.0
17827;25495;Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1250.0;70.0
17828;25496;Apartamento;Botafogo;2;0;0;76;3000.0;619.0;
17829;25497;Apartamento;Flamengo;1;0;1;75;3200.0;281.0;69.0
17830;25498;Apartamento;Recreio dos Bandeirantes;2;1;1;70;1800.0;957.0;171.0
17831;25500;Apartamento;Ipanema;3;2;1;170;6000.0;2200.0;380.0
17832;25502;Apartamento;Flamengo;2;0;0;60;2200.0;410.0;852.0
17833;25503;Apartamento;Centro;1;1;0;42;1700.0;560.0;47.0
17834;25504;Apartamento;Urca;2;0;0;80;3800.0;500.0;125.0
17835;25505;Apartamento;Barra da Tijuca;1;1;1;75;2100.0;1043.0;245.0
17836;25506;Apartamento;Barra da Tijuca;2;2;1;100;3500.0;1450.0;
17837;25510;Apartamento;Freguesia (Jacarepaguá);3;2;2;160;1800.0;1574.0;198.0
17838;25511;Apartamento;Laranjeiras;2;0;0;67;2300.0;700.0;100.0
17839;25512;Apartamento;Glória;1;0;0;44;1400.0;480.0;26.0
17840;25514;Apartamento;Laranjeiras;2;1;0;90;2650.0;600.0;101.0
17841;25515;Apartamento;Centro;1;0;0;25;1200.0;390.0;
17842;25516;Apartamento;Glória;1;0;0;45;1400.0;450.0;40.0
17843;25517;Apartamento;Catete;1;0;0;24;1100.0;435.0;225.0
17844;25518;Apartamento;Barra da Tijuca;1;1;1;75;1900.0;984.0;280.0
17845;25519;Flat;Curicica;1;1;1;40;1700.0;968.0;40.0
17846;25520;Apartamento;Copacabana;3;0;0;120;2700.0;;
17847;25523;Apartamento;Taquara;2;1;1;59;1800.0;550.0;60.0
17848;25525;Apartamento;Ipanema;2;0;0;60;2900.0;507.0;125.0
17849;25526;Apartamento;Recreio dos Bandeirantes;3;2;3;88;1900.0;600.0;1100.0
17850;25528;Apartamento;Barra da Tijuca;3;1;1;70;1400.0;750.0;132.0
17851;25529;Apartamento;Copacabana;1;1;0;56;5000.0;;
17852;25530;Apartamento;Flamengo;1;0;0;41;1800.0;483.0;67.0
17853;25532;Apartamento;Leblon;3;1;0;98;3500.0;1424.0;1192.0
17854;25535;Apartamento;Tijuca;2;2;1;69;2000.0;854.0;
17855;25536;Apartamento;Grajaú;2;1;0;80;1200.0;670.0;50.0
17856;25538;Apartamento;Botafogo;3;1;0;206;6000.0;2000.0;323.0
17857;25539;Apartamento;Barra da Tijuca;2;1;1;80;2250.0;1091.0;205.0
17858;25541;Apartamento;Flamengo;2;1;0;75;2500.0;1067.0;125.0
17859;25543;Apartamento;Leblon;2;1;1;105;2700.0;1900.0;400.0
17860;25545;Apartamento;Barra da Tijuca;1;1;1;70;2000.0;970.0;170.0
17861;25546;Apartamento;Barra da Tijuca;2;1;1;100;2300.0;1678.0;2500.0
17862;25547;Apartamento;Engenho de Dentro;2;0;0;53;800.0;260.0;16.0
17863;25550;Apartamento;Copacabana;3;0;0;110;3000.0;1300.0;200.0
17864;25551;Casa de Condomínio;Barra da Tijuca;4;3;4;350;13000.0;1210.0;1000.0
17865;25552;Apartamento;Recreio dos Bandeirantes;2;1;1;75;1550.0;750.0;
17866;25553;Apartamento;Ipanema;3;1;1;80;3900.0;1368.0;113.0
17867;25555;Casa;Freguesia (Jacarepaguá);4;10;1;400;4900.0;;
17868;25558;Apartamento;Copacabana;1;0;0;35;1800.0;520.0;25.0
17869;25559;Apartamento;Pechincha;2;1;1;65;1300.0;570.0;12.0
17870;25560;Apartamento;Barra da Tijuca;2;1;1;63;2500.0;1280.0;204.0
17871;25561;Apartamento;Ipanema;1;0;0;46;1700.0;700.0;132.0
17872;25562;Apartamento;Riachuelo;1;0;0;46;900.0;253.0;17.0
17873;25564;Apartamento;Recreio dos Bandeirantes;3;2;1;90;1790.0;590.0;990.0
17874;25566;Apartamento;Campo Grande;2;0;0;60;800.0;350.0;
17875;25567;Apartamento;Flamengo;1;0;0;47;1600.0;650.0;
17876;25568;Apartamento;Leblon;3;2;1;240;15000.0;975.0;
17877;25570;Apartamento;Catete;2;1;0;81;2300.0;530.0;132.0
17878;25572;Casa;Barra da Tijuca;5;2;0;200;11000.0;1300.0;900.0
17879;25573;Apartamento;Barra da Tijuca;3;2;3;130;5700.0;850.0;450.0
